as_of_date,cycle,chip_slug,utilization,total_gpus,idle_gpus,n_machines,n_machines_fully_rented,n_machines_idle_ge_8,methodology_version
2026-05-13,2026-05-13-1400,a100-sxm,0.8816,304,36,58,45,2,v2.0.0
2026-05-13,2026-05-13-1800,a100-sxm,0.8688,320,42,60,47,3,v2.0.0
2026-05-14,2026-05-14-0600,a100-sxm,0.8987,306,31,58,47,2,v2.0.0
2026-05-14,2026-05-14-1000,a100-sxm,0.9189,296,24,56,50,2,v2.0.0
2026-05-14,2026-05-14-1400,a100-sxm,0.9123,308,27,58,49,2,v2.0.0
2026-05-14,2026-05-14-1800,a100-sxm,0.9068,311,29,58,49,1,v2.0.0
2026-05-15,2026-05-15-0600,a100-sxm,0.9244,291,22,56,51,2,v2.0.0
2026-05-15,2026-05-15-1000,a100-sxm,0.9391,312,19,57,51,1,v2.0.0
2026-05-15,2026-05-15-1400,a100-sxm,0.9448,290,16,55,50,1,v2.0.0
2026-05-15,2026-05-15-1800,a100-sxm,0.8683,281,37,53,43,3,v2.0.0
2026-05-16,2026-05-16-0600,a100-sxm,0.9036,280,27,52,45,2,v2.0.0
2026-05-16,2026-05-16-1000,a100-sxm,0.8917,314,34,57,46,2,v2.0.0
2026-05-16,2026-05-16-1400,a100-sxm,0.9359,312,20,56,49,1,v2.0.0
2026-05-16,2026-05-16-1800,a100-sxm,0.9172,302,25,55,46,1,v2.0.0
2026-05-17,2026-05-17-0600,a100-sxm,0.8571,322,46,58,47,3,v2.0.0
2026-05-17,2026-05-17-1000,a100-sxm,0.8845,329,38,58,46,2,v2.0.0
2026-05-17,2026-05-17-1400,a100-sxm,0.869,313,41,56,47,3,v2.0.0
2026-05-17,2026-05-17-1800,a100-sxm,0.8871,310,35,57,47,2,v2.0.0
2026-05-18,2026-05-18-1000,a100-sxm,0.8986,355,36,62,52,2,v2.0.0
2026-05-18,2026-05-18-1400,a100-sxm,0.869,336,44,61,52,3,v2.0.0
2026-05-18,2026-05-18-1800,a100-sxm,0.8567,342,49,61,48,3,v2.0.0
2026-05-19,2026-05-19-1000,a100-sxm,0.8774,359,44,64,53,4,v2.0.0
2026-05-19,2026-05-19-1400,a100-sxm,0.8683,319,42,60,50,3,v2.0.0
2026-05-19,2026-05-19-1800,a100-sxm,0.8704,324,42,58,44,2,v2.0.0
2026-05-20,2026-05-20-1000,a100-sxm,0.8677,310,41,57,44,2,v2.0.0
2026-05-20,2026-05-20-1400,a100-sxm,0.8904,301,33,56,47,2,v2.0.0
2026-05-20,2026-05-20-1800,a100-sxm,0.9018,336,33,62,53,2,v2.0.0
2026-05-21,2026-05-21-1000,a100-sxm,0.9104,346,31,62,52,2,v2.0.0
2026-05-21,2026-05-21-1400,a100-sxm,0.8958,336,35,61,50,2,v2.0.0
2026-05-21,2026-05-21-1800,a100-sxm,0.8953,296,31,55,48,2,v2.0.0
2026-05-22,2026-05-22-1000,a100-sxm,0.9172,290,24,56,49,1,v2.0.0
2026-05-22,2026-05-22-1400,a100-sxm,0.9164,287,24,53,46,1,v2.0.0
2026-05-22,2026-05-22-1800,a100-sxm,0.8856,306,35,57,44,1,v2.0.0
2026-05-23,2026-05-23-0600,a100-sxm,0.9103,312,28,58,48,1,v2.0.0
2026-05-23,2026-05-23-1000,a100-sxm,0.9042,313,30,59,46,0,v2.0.0
2026-05-23,2026-05-23-1400,a100-sxm,0.8929,308,33,59,44,0,v2.0.0
2026-05-23,2026-05-23-1800,a100-sxm,0.885,313,36,59,46,0,v2.0.0
2026-05-24,2026-05-24-0600,a100-sxm,0.9373,319,20,60,52,0,v2.0.0
2026-05-24,2026-05-24-1000,a100-sxm,0.9809,314,6,58,56,0,v2.0.0
2026-05-24,2026-05-24-1400,a100-sxm,0.9172,302,25,56,45,0,v2.0.0
2026-05-24,2026-05-24-1800,a100-sxm,0.914,314,27,59,49,0,v2.0.0
2026-05-25,2026-05-25-1000,a100-sxm,0.8919,296,32,57,44,0,v2.0.0
2026-05-25,2026-05-25-1400,a100-sxm,0.8703,293,38,57,43,1,v2.0.0
2026-05-25,2026-05-25-1800,a100-sxm,0.8226,310,55,59,44,3,v2.0.0
2026-05-26,2026-05-26-1000,a100-sxm,0.8297,317,54,60,46,3,v2.0.0
2026-05-26,2026-05-26-1400,a100-sxm,0.8555,339,49,64,45,2,v2.0.0
2026-05-26,2026-05-26-1800,a100-sxm,0.8829,350,41,63,48,1,v2.0.0
2026-05-27,2026-05-27-1000,a100-sxm,0.8491,318,48,62,49,3,v2.0.0
2026-05-27,2026-05-27-1400,a100-sxm,0.7918,317,66,62,45,4,v2.0.0
2026-05-27,2026-05-27-1800,a100-sxm,0.8827,341,40,65,52,2,v2.0.0
2026-05-28,2026-05-28-1000,a100-sxm,0.8986,345,35,64,52,2,v2.0.0
2026-05-28,2026-05-28-1400,a100-sxm,0.9231,351,27,65,55,0,v2.0.0
2026-05-28,2026-05-28-1800,a100-sxm,0.9006,352,35,66,54,1,v2.0.0
2026-05-29,2026-05-29-1000,a100-sxm,0.9401,384,23,72,65,1,v2.0.0
2026-05-29,2026-05-29-1400,a100-sxm,0.9233,352,27,66,59,2,v2.0.0
2026-05-29,2026-05-29-1800,a100-sxm,0.8781,320,39,64,52,2,v2.0.0
2026-05-30,2026-05-30-0600,a100-sxm,0.9258,337,25,64,54,1,v2.0.0
2026-05-30,2026-05-30-1000,a100-sxm,0.8639,338,46,64,50,2,v2.0.0
2026-05-30,2026-05-30-1400,a100-sxm,0.8969,359,37,67,52,1,v2.0.0
2026-05-30,2026-05-30-1800,a100-sxm,0.8822,365,43,69,52,1,v2.0.0
2026-05-31,2026-05-31-0600,a100-sxm,0.8638,367,50,71,55,2,v2.0.0
2026-05-31,2026-05-31-1000,a100-sxm,0.8809,361,43,70,54,1,v2.0.0
2026-05-31,2026-05-31-1400,a100-sxm,0.7943,389,80,72,47,3,v2.0.0
2026-05-31,2026-05-31-1800,a100-sxm,0.8209,374,67,70,50,4,v2.0.0
2026-06-01,2026-06-01-0600,a100-sxm,0.8852,366,42,71,54,0,v2.0.0
2026-06-01,2026-06-01-1000,a100-sxm,0.8663,359,48,70,52,1,v2.0.0
2026-06-01,2026-06-01-1400,a100-sxm,0.9091,363,33,71,56,0,v2.0.0
2026-06-01,2026-06-01-1800,a100-sxm,0.8097,373,71,73,47,3,v2.0.0
2026-06-02,2026-06-02-0600,a100-sxm,0.8144,334,62,68,49,3,v2.0.0
2026-06-02,2026-06-02-1000,a100-sxm,0.7839,384,83,75,50,4,v2.0.0
2026-06-02,2026-06-02-1400,a100-sxm,0.8192,365,66,70,48,3,v2.0.0
2026-06-02,2026-06-02-1800,a100-sxm,0.8055,365,71,71,47,3,v2.0.0
2026-06-03,2026-06-03-0600,a100-sxm,0.8246,342,60,69,46,2,v2.0.0
2026-06-03,2026-06-03-1000,a100-sxm,0.8148,351,65,69,48,3,v2.0.0
2026-06-03,2026-06-03-1400,a100-sxm,0.8777,368,45,71,57,2,v2.0.0
2026-06-03,2026-06-03-1800,a100-sxm,0.8904,356,39,69,52,0,v2.0.0
2026-06-04,2026-06-04-1000,a100-sxm,0.8483,356,54,68,49,2,v2.0.0
2026-06-04,2026-06-04-1400,a100-sxm,0.7715,337,77,67,43,4,v2.0.0
2026-06-04,2026-06-04-1800,a100-sxm,0.888,393,44,77,59,1,v2.0.0
2026-06-05,2026-06-05-1000,a100-sxm,0.8089,361,69,71,47,3,v2.0.0
2026-06-05,2026-06-05-1400,a100-sxm,0.8474,367,56,72,48,2,v2.0.0
2026-06-05,2026-06-05-1800,a100-sxm,0.7624,362,86,73,43,5,v2.0.0
2026-06-06,2026-06-06-0600,a100-sxm,0.8027,375,74,75,48,4,v2.0.0
2026-06-06,2026-06-06-1000,a100-sxm,0.7989,353,71,71,48,3,v2.0.0
2026-06-06,2026-06-06-1400,a100-sxm,0.8161,348,64,70,46,2,v2.0.0
2026-06-06,2026-06-06-1800,a100-sxm,0.7299,348,94,70,43,6,v2.0.0
2026-06-07,2026-06-07-0600,a100-sxm,0.7624,404,96,77,49,7,v2.0.0
2026-06-07,2026-06-07-1000,a100-sxm,0.7413,402,104,78,47,8,v2.0.0
2026-06-07,2026-06-07-1400,a100-sxm,0.6612,428,145,84,43,11,v2.0.0
2026-06-07,2026-06-07-1800,a100-sxm,0.5831,451,188,87,39,16,v2.0.0
2026-06-08,2026-06-08-0600,a100-sxm,0.6315,445,164,86,42,14,v2.0.0
2026-06-08,2026-06-08-1000,a100-sxm,0.7494,451,113,84,54,11,v2.0.0
2026-06-08,2026-06-08-1400,a100-sxm,0.7303,482,130,89,56,10,v2.0.0
2026-06-08,2026-06-08-1800,a100-sxm,0.848,500,76,90,68,6,v2.0.0
2026-06-09,2026-06-09-1000,a100-sxm,0.8887,503,56,91,70,3,v2.0.0
2026-06-09,2026-06-09-1400,a100-sxm,0.8534,464,68,89,68,5,v2.0.0
2026-06-09,2026-06-09-1800,a100-sxm,0.9005,372,37,74,56,1,v2.0.0
2026-06-10,2026-06-10-1000,a100-sxm,0.844,359,56,71,50,3,v2.0.0
2026-06-10,2026-06-10-1400,a100-sxm,0.8883,394,44,78,57,1,v2.0.0
2026-06-10,2026-06-10-1800,a100-sxm,0.8063,351,68,69,45,4,v2.0.0
2026-06-11,2026-06-11-0600,a100-sxm,0.8333,354,59,71,52,4,v2.0.0
2026-06-11,2026-06-11-1000,a100-sxm,0.8218,348,62,71,48,3,v2.0.0
2026-06-11,2026-06-11-1400,a100-sxm,0.7688,346,80,68,46,6,v2.0.0
2026-06-11,2026-06-11-1800,a100-sxm,0.745,349,89,71,45,6,v2.0.0
2026-06-12,2026-06-12-1000,a100-sxm,0.7571,350,85,69,41,5,v2.0.0
2026-06-12,2026-06-12-1400,a100-sxm,0.6565,361,124,71,36,8,v2.0.0
2026-06-13,2026-06-13-0600,a100-sxm,0.7661,372,87,72,49,7,v2.0.0
2026-06-13,2026-06-13-1000,a100-sxm,0.811,365,69,71,48,4,v2.0.0
2026-06-13,2026-06-13-1400,a100-sxm,0.7215,377,105,73,43,7,v2.0.0
2026-06-14,2026-06-14-0600,a100-sxm,0.6777,363,117,68,36,8,v2.0.0
2026-06-14,2026-06-14-1000,a100-sxm,0.7285,372,101,71,44,7,v2.0.0
2026-06-14,2026-06-14-1400,a100-sxm,0.6819,371,118,71,40,9,v2.0.0
2026-06-15,2026-06-15-0600,a100-sxm,0.7237,380,105,73,42,5,v2.0.0
2026-06-18,2026-06-18-1000,a100-sxm,0.7356,348,92,66,39,6,v2.0.0
2026-06-18,2026-06-18-1400,a100-sxm,0.7618,340,81,65,40,5,v2.0.0
2026-06-19,2026-06-19-0600,a100-sxm,0.7493,359,90,69,43,6,v2.0.0
2026-06-19,2026-06-19-1000,a100-sxm,0.7371,350,92,64,37,6,v2.0.0
2026-06-19,2026-06-19-1400,a100-sxm,0.8056,355,69,66,46,4,v2.0.0
2026-06-19,2026-06-19-1800,a100-sxm,0.7285,372,101,69,43,7,v2.0.0
2026-06-20,2026-06-20-0600,a100-sxm,0.8,365,73,69,52,6,v2.0.0
2026-06-20,2026-06-20-1400,a100-sxm,0.7638,381,90,74,48,6,v2.0.0
2026-06-21,2026-06-21-0600,a100-sxm,0.7937,378,78,74,52,4,v2.0.0
2026-06-21,2026-06-21-1400,a100-sxm,0.7084,391,114,76,41,8,v2.0.0
2026-06-22,2026-06-22-0600,a100-sxm,0.75,388,97,76,46,7,v2.0.0
2026-06-22,2026-06-22-1000,a100-sxm,0.7967,369,75,74,50,5,v2.0.0
2026-06-22,2026-06-22-1400,a100-sxm,0.7863,379,81,75,48,5,v2.0.0
2026-06-26,2026-06-26-0600,a100-sxm,0.8678,348,46,70,50,1,v2.0.0
2026-06-26,2026-06-26-1000,a100-sxm,0.7676,340,79,68,41,4,v2.0.0
2026-06-26,2026-06-26-1400,a100-sxm,0.7931,348,72,70,45,4,v2.0.0
2026-06-26,2026-06-26-1800,a100-sxm,0.7301,352,95,72,42,5,v2.0.0
2026-06-27,2026-06-27-0600,a100-sxm,0.7255,368,101,70,38,6,v2.0.0
2026-06-27,2026-06-27-1000,a100-sxm,0.7981,312,63,62,39,4,v2.0.0
2026-06-27,2026-06-27-1400,a100-sxm,0.7983,347,70,66,41,4,v2.0.0
2026-06-27,2026-06-27-1800,a100-sxm,0.7626,358,85,68,41,5,v2.0.0
2026-06-28,2026-06-28-0600,a100-sxm,0.7374,358,94,69,44,7,v2.0.0
2026-06-28,2026-06-28-1000,a100-sxm,0.7548,367,90,70,45,7,v2.0.0
2026-06-28,2026-06-28-1400,a100-sxm,0.7329,337,90,64,40,6,v2.0.0
2026-06-28,2026-06-28-1800,a100-sxm,0.7229,332,92,65,36,6,v2.0.0
2026-06-29,2026-06-29-0600,a100-sxm,0.764,356,84,69,42,5,v2.0.0
2026-06-29,2026-06-29-1000,a100-sxm,0.8251,343,60,65,44,3,v2.0.0
2026-06-29,2026-06-29-1400,a100-sxm,0.8571,336,48,66,45,2,v2.0.0
2026-06-29,2026-06-29-1800,a100-sxm,0.8486,350,53,66,45,2,v2.0.0
2026-06-30,2026-06-30-0600,a100-sxm,0.7865,342,73,66,42,5,v2.0.0
2026-06-30,2026-06-30-1000,a100-sxm,0.8254,338,59,66,44,3,v2.0.0
2026-06-30,2026-06-30-1400,a100-sxm,0.769,329,76,65,39,4,v2.0.0
2026-06-30,2026-06-30-1800,a100-sxm,0.738,355,93,70,41,6,v2.0.0
2026-07-01,2026-07-01-0600,a100-sxm,0.8593,334,47,66,45,2,v2.0.0
2026-07-01,2026-07-01-1000,a100-sxm,0.8367,343,56,68,47,3,v2.0.0
2026-07-01,2026-07-01-1400,a100-sxm,0.8333,366,61,71,48,4,v2.0.0
2026-07-01,2026-07-01-1800,a100-sxm,0.8684,342,45,67,46,1,v2.0.0
2026-07-02,2026-07-02-0600,a100-sxm,0.8834,343,40,67,47,1,v2.0.0
2026-07-02,2026-07-02-1000,a100-sxm,0.8732,347,44,68,47,1,v2.0.0
2026-07-02,2026-07-02-1400,a100-sxm,0.836,372,61,71,46,3,v2.0.0
2026-07-02,2026-07-02-1800,a100-sxm,0.7772,368,82,70,45,6,v2.0.0
2026-07-03,2026-07-03-0600,a100-sxm,0.8067,357,69,69,45,5,v2.0.0
2026-07-03,2026-07-03-1000,a100-sxm,0.8609,345,48,68,48,2,v2.0.0
2026-07-03,2026-07-03-1400,a100-sxm,0.7668,343,80,63,42,5,v2.0.0
2026-07-03,2026-07-03-1800,a100-sxm,0.8129,342,64,63,41,4,v2.0.0
2026-07-04,2026-07-04-0600,a100-sxm,0.7714,350,80,68,45,5,v2.0.0
2026-07-04,2026-07-04-1000,a100-sxm,0.8121,346,65,66,44,4,v2.0.0
2026-07-04,2026-07-04-1400,a100-sxm,0.7688,346,80,70,43,5,v2.0.0
2026-07-04,2026-07-04-1800,a100-sxm,0.7765,340,76,67,43,5,v2.0.0
