as_of_date,series_id,basket_version,input_usd_per_mtok,output_usd_per_mtok,n_models,min_provider_n,members,params_version,methodology_version
2026-07-03,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-04,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-05,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-06,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-07,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-08,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-09,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-10,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-11,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-12,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-13,CCIR-TOKEN-B1,b1,0.30380000,1.04300000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.18000000"", ""out"": ""0.49500000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-14,CCIR-TOKEN-B1,b1,0.31980000,1.07400000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.26000000"", ""out"": ""0.65000000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-15,CCIR-TOKEN-B1,b1,0.31980000,1.07400000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.26000000"", ""out"": ""0.65000000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
2026-07-16,CCIR-TOKEN-B1,b1,0.31980000,1.07400000,5,3,"{""gptoss120b"": {""in"": ""0.10000000"", ""out"": ""0.42000000"", ""n"": 4}, ""gemma431bit"": {""in"": ""0.26000000"", ""out"": ""0.65000000"", ""n"": 4}, ""deepseekv3.2"": {""in"": ""0.26900000"", ""out"": ""0.40000000"", ""n"": 3}, ""kimik2instruct"": {""in"": ""0.57000000"", ""out"": ""2.30000000"", ""n"": 3}, ""qwen3coder480ba35binstruct"": {""in"": ""0.40000000"", ""out"": ""1.60000000"", ""n"": 3}}",t1,v2.2.0
